target,x,y
C1,96,588
C1,195,620
C1,147,541
C1,174,601
C1,108,548
C1,128,523
C1,127,564
C1,176,444
C1,179,514
C1,289,408
C1,257,440
C1,269,416
C1,247,399
C1,323,401
C1,267,363
C1,273,429
C1,235,387
C1,280,422
C1,384,398
C1,339,393
C1,358,386
C1,383,411
C1,392,309
C1,426,388
C1,396,378
C1,395,267
C1,389,313
C1,408,340
C1,494,262
C1,476,329
C1,438,320
C1,413,329
C1,417,325
C1,446,318
C1,440,336
C1,450,308
C1,394,324
C1,443,303
C1,467,358
C1,405,324
C1,383,332
C1,405,336
C1,388,301
C1,349,286
C1,312,357
C1,321,304
C1,311,324
C1,264,339
C1,255,396
C1,214,346
C1,269,347
C1,242,404
C1,272,381
C1,266,413
C1,296,383
C1,317,422
C1,281,393
C1,256,386
C1,275,372
C1,282,381
C1,180,625
C1,232,681
C1,138,682
C1,199,681
C1,194,684
C1,201,688
C1,187,654
C1,180,670
C1,205,609
C1,177,611
C2,476,638
C2,466,628
C2,502,656
C2,499,564
C2,454,619
C2,449,628
C2,459,599
C2,444,582
C2,449,655
C2,457,642
C2,533,587
C2,597,645
C2,650,633
C2,664,586
C2,608,581
C2,612,518
C2,693,601
C2,609,566
C2,573,656
C2,637,625
C2,639,601
C2,647,549
C2,736,463
C2,729,510
C2,724,490
C2,677,446
C2,658,455
C2,671,445
C2,708,466
C2,672,458
C2,696,428
C2,690,394
C2,656,392
C2,725,315
C2,695,298
C2,697,278
C2,698,316
C2,720,243
C2,699,243
C2,704,174
C2,706,191
C2,723,161
C2,630,168
C2,672,242
C2,713,170
C2,662,156
C2,672,173
C2,641,166
C2,668,89
C2,620,112
C2,603,79
C2,644,3
C2,645,75
C2,600,109
C2,588,87
C2,589,70
C2,559,14
C2,707,381
C2,708,405
C2,748,397
C2,750,363
C2,727,406
C2,720,359
C2,725,373
C2,789,392
C2,729,381
C2,791,420
C2,699,343
C2,765,349
C2,729,418
C2,697,475
C2,723,550
C2,696,488
C2,680,501
C2,729,534
C2,705,559
C2,729,524
C2,650,531
C2,724,520
C2,681,537
C2,702,512
C2,680,542
C2,679,555
C2,730,521
C2,658,540
C2,669,511
C2,624,629
C2,551,571
C2,565,584
C2,527,614
C2,616,550
C2,607,607
C2,611,606
C2,543,615
C2,555,606
C2,586,619
C2,521,633
C2,530,577
C2,495,591
C2,509,575
C2,529,627
C2,478,631
C2,495,588
C2,489,584
C2,521,616
C2,532,643
C2,539,613
C2,527,667
C2,498,660
C2,541,650
C2,532,664
C2,529,647
C2,478,628
C2,558,673
C2,567,625
C2,530,621
C2,497,612
C2,504,666
C2,514,662
C2,451,652
C2,475,595
C2,580,563
C2,630,563
C2,602,519
C2,592,562
C2,628,538
C2,631,541
C2,621,538
C2,652,513
C2,680,465
C2,669,485
C2,672,435
C2,613,469
C2,653,486
C2,659,486
C2,755,404
C2,697,441
C2,737,381
C2,808,385
C2,697,454
C2,716,393
C2,784,442
C2,753,414
C2,711,433
C2,726,326
C2,701,355
C2,754,355
C2,750,299
C2,766,325
C2,753,333
C2,741,321
C2,721,204
C2,679,187
C2,759,187
C2,790,214
C2,689,225
C2,673,242
C2,720,200
C2,676,184
C2,668,221
C2,733,264
C2,778,282
C2,796,265
C2,792,203
C2,711,197
C2,712,244
C2,702,283
C2,787,290
C2,794,308
C2,726,301
C2,697,300
C2,693,158
C2,672,168
C2,724,157
C2,677,132
C2,714,125
C2,659,169
C2,671,138
C2,687,126
C2,716,100
C2,691,205
C2,722,128
C2,693,147
C2,626,100
C2,677,114
C2,652,69
C2,673,22
C2,644,93
C2,707,57
C2,627,159
C2,513,147
C2,626,87
C2,552,93
C2,537,91
C2,596,51
C2,562,93
C2,578,101
C2,543,30
C2,586,74
C2,561,79
C2,596,67
C2,592,8
C2,660,108
C2,609,127
C2,691,114
C2,641,92
C2,606,128
C2,522,163
C2,595,182
C2,563,126
C2,549,113
C2,534,151
C2,569,175
C2,583,150
C2,607,208
C2,636,208
C2,636,258
C2,646,178
C2,650,242
C2,729,214
C2,727,221
C2,738,260
C2,679,328
C2,780,294
C2,800,245
C2,750,249
C2,744,269
C3,820,896
C3,799,822
C3,786,925
C3,783,907
C3,757,919
C3,834,857
C3,800,909
C3,759,892
C3,804,862
C3,815,882
C3,802,931
C3,686,814
C3,715,810
C3,768,813
C3,760,822
C3,738,833
C3,787,912
C3,789,880
C3,796,890
C3,785,886
C3,863,858
C3,836,907
C3,827,896
C3,826,882
C3,890,966
C3,798,936
C3,822,962
C3,813,871
C3,857,915
C3,907,902
C3,897,970
C3,964,907
C3,917,984
C3,975,967
C3,920,953
C3,926,959
C3,948,1.000
C3,964,983
C3,929,971
C3,941,881
C3,855,901
C3,917,895
C3,844,797
C3,810,846
C3,831,892
C3,807,802
C3,837,875
C3,903,864
C3,724,848
C3,747,835
C3,730,815
C3,717,853
C3,716,906
C3,760,881
C3,736,829
C3,806,995
C3,799,925
C3,797,892
C3,776,957
C3,764,972
C3,832,1.000
C3,913,937
C3,886,972
C3,859,960
C3,836,960
C3,891,968
C3,942,925
C3,958,982
C3,999,943
C3,972,915
C3,955,913
C3,903,887
C3,902,814
C3,879,798
C3,845,823
C3,858,849
C3,930,933
C3,892,866
C3,884,913
C3,891,965
C3,887,947
